,precision,recall,f1-score,support
B-LOC,0.7421602787456446,0.714765100671141,0.7282051282051283,596.0
B-MISC,0.0,0.0,0.0,23.0
B-ORG,0.33052631578947367,0.8463611859838275,0.47539742619227854,371.0
B-PER,0.5550595238095238,0.8694638694638694,0.6775658492279746,429.0
I-LOC,0.5871559633027523,0.38095238095238093,0.4620938628158845,168.0
I-MISC,0.031746031746031744,0.14285714285714285,0.051948051948051945,14.0
I-ORG,0.5159010600706714,0.35784313725490197,0.422575976845152,408.0
I-PER,0.5,0.3125,0.38461538461538464,16.0
micro avg,0.4794520547945205,0.6567901234567901,0.5542821421129402,2025.0
macro avg,0.4078186466830122,0.45309285214790795,0.4003002099812318,2025.0
weighted avg,0.553406224095173,0.6567901234567901,0.5718431294979764,2025.0
